sfxUp sfyUp sfxLow sfyLow time
11.9926 -10411.2 -2.03178 10411.2 0.0264
12.9356 -11212.4 -2.20435 11212.4 0.0265
13.9725 -12013.2 -2.3169 12013.2 0.0266
14.9129 -12813.8 -2.49014 12813.8 0.0267
15.9524 -13613.9 -2.602 13613.9 0.0268
16.8903 -14413.8 -2.77598 14413.8 0.0269
17.9322 -15213.2 -2.88727 15213.2 0.027
18.8675 -16012.2 -3.06186 16012.2 0.0271
19.9123 -16810.7 -3.17249 16810.7 0.0272
20.8447 -17608.9 -3.34773 17608.9 0.0273
21.8919 -18406.5 -3.45786 18406.5 0.0274
22.8218 -19203.8 -3.63383 19203.8 0.0275
23.8715 -20000.4 -3.74345 20000.4 0.0276
24.799 -20796.6 -3.9203 20796.6 0.0277
25.8516 -21592.2 -4.02918 21592.2 0.0278
26.7756 -22387.3 -4.20633 22387.3 0.0279
27.8308 -23181.7 -4.31505 23181.7 0.028
28.7519 -23975.6 -4.49278 23975.6 0.0281
29.8099 -24768.8 -4.60119 24768.8 0.0282
30.7279 -25561.5 -4.77944 25561.5 0.0283
31.7887 -26353.4 -4.88745 26353.4 0.0284
32.7038 -27144.7 -5.06637 27144.7 0.0285
33.7681 -27935.3 -5.1742 27935.3 0.0286
34.6797 -28725.2 -5.35343 28725.2 0.0287
35.7466 -29514.3 -5.46099 29514.3 0.0288
36.6553 -30302.7 -5.64087 30302.7 0.0289
37.7256 -31090.3 -5.74846 31090.3 0.029
38.6306 -31877.2 -5.92867 31877.2 0.0291
39.7041 -32663.2 -6.03598 32663.2 0.0292
40.6052 -33448.4 -6.21667 33448.4 0.0293
41.6822 -34232.7 -6.32397 34232.7 0.0294
42.5797 -35016.3 -6.50515 35016.3 0.0295
43.6598 -35798.9 -6.61258 35798.9 0.0296
44.5531 -36580.6 -6.79411 36580.6 0.0297
45.6375 -37361.4 -6.90168 37361.4 0.0298
46.5273 -38141.3 -7.0835 38141.3 0.0299
47.615 -38920.1 -7.19135 38920.1 0.03
48.5002 -39698.1 -7.37332 39698.1 0.0301
49.5917 -40475 -7.48117 40475 0.0302
50.4731 -41250.9 -7.66341 41250.9 0.0303
51.5686 -42025.8 -7.77128 42025.8 0.0304
52.446 -42799.6 -7.95411 42799.6 0.0305
53.5453 -43572.3 -8.06223 43572.3 0.0306
54.4171 -44344.1 -8.24498 44344.1 0.0307
55.5198 -45114.6 -8.35403 45114.6 0.0308
56.3868 -45884 -8.53679 45884 0.0309
57.4942 -46652.3 -8.64599 46652.3 0.031
58.3577 -47419.4 -8.82902 47419.4 0.0311
59.4686 -48185.3 -8.93859 48185.3 0.0312
60.3268 -48950.1 -9.1219 48950.1 0.0313
61.4422 -49713.6 -9.23186 49713.6 0.0314
62.2963 -50475.9 -9.41505 50475.9 0.0315
63.4152 -51236.8 -9.5257 51236.8 0.0316
64.264 -51996.6 -9.70878 51996.6 0.0317
65.387 -52755 -9.82013 52755 0.0318
66.2313 -53512.2 -10.0037 53512.2 0.0319
67.3583 -54267.9 -10.1154 54267.9 0.032
68.1976 -55022.4 -10.2996 55022.4 0.0321
69.3281 -55775.4 -10.4117 55775.4 0.0322
70.1633 -56527.1 -10.5957 56527.1 0.0323
71.2968 -57277.3 -10.7092 57277.3 0.0324
72.1274 -58026.2 -10.8931 58026.2 0.0325
73.2654 -58773.5 -11.0072 58773.5 0.0326
74.0915 -59519.5 -11.1913 59519.5 0.0327
75.2316 -60263.8 -11.3064 60263.8 0.0328
76.0541 -61006.8 -11.4909 61006.8 0.0329
77.1979 -61748.1 -11.6066 61748.1 0.033
78.0164 -62488.1 -11.7916 62488.1 0.0331
79.1629 -63226.3 -11.908 63226.3 0.0332
79.9772 -63963.1 -12.0927 63963.1 0.0333
81.1252 -64698.1 -12.2097 64698.1 0.0334
81.9357 -65431.7 -12.3946 65431.7 0.0335
83.0862 -66163.5 -12.5127 66163.5 0.0336
83.8958 -66893.7 -12.6971 66893.7 0.0337
85.0468 -67622.2 -12.8167 67622.2 0.0338
85.8545 -68349.1 -13.0008 68349.1 0.0339
87.0059 -69074.2 -13.121 69074.2 0.034
87.8113 -69797.6 -13.3055 69797.6 0.0341
88.9621 -70519.2 -13.427 70519.2 0.0342
89.767 -71239.1 -13.6111 71239.1 0.0343
90.9169 -71957.2 -13.734 71957.2 0.0344
91.7223 -72673.5 -13.918 72673.5 0.0345
92.8705 -73387.9 -14.0422 73387.9 0.0346
93.6778 -74100.6 -14.2258 74100.6 0.0347
94.8226 -74811.3 -14.3516 74811.3 0.0348
95.6295 -75520.2 -14.5353 75520.2 0.0349
96.769 -76227.1 -14.6627 76227.1 0.035
97.5802 -76932.2 -14.8461 76932.2 0.0351
98.7137 -77635.3 -14.9746 77635.3 0.0352
99.5284 -78336.5 -15.1573 78336.5 0.0353
100.656 -79035.6 -15.2883 79035.6 0.0354
101.477 -79732.9 -15.4688 79732.9 0.0355
102.597 -80428 -15.6022 80428 0.0356
103.425 -81121.2 -15.7818 81121.2 0.0357
104.535 -81812.2 -15.918 81812.2 0.0358
105.371 -82501.3 -16.0955 82501.3 0.0359
106.467 -83188.1 -16.2348 83188.1 0.036
107.312 -83873 -16.4104 83873 0.0361
108.399 -84555.6 -16.5524 84555.6 0.0362
109.256 -85236.2 -16.7267 85236.2 0.0363
110.327 -85914.5 -16.8728 85914.5 0.0364
111.196 -86590.8 -17.0451 86590.8 0.0365
112.249 -87264.7 -17.1952 87264.7 0.0366
113.135 -87936.5 -17.3648 87936.5 0.0367
114.171 -88606 -17.5197 88606 0.0368
