,Re_s,St,direction,stagPos,velChange,Amp,Nu,delta,Re_Paper,epsilon,Tvar,Msquared,Re_M
82,50.0,1.0,Vertical,0.09745599999999999,1.0,0.15,0.02827433388230814,0.021213203435596427,49.99999999999999,1.0,-0.05254400000000001,49.99999999999999,49.99999999999999
83,50.0,1.25,Vertical,0.1218005,1.0,0.12,0.018095573684677208,0.01697056274847714,62.50000000000001,0.8,-0.02819949999999999,78.125,78.12500000000001
84,50.0,1.5,Vertical,0.1328116666666667,1.0,0.09999999999999999,0.01256637061435917,0.014142135623730949,75.0,0.6666666666666666,-0.017188333333333305,112.5,112.50000000000001
85,54.0,0.5,Vertical,0.038355999999999946,1.0,0.3,0.10471975511965977,0.0408248290463863,27.000000000000004,2.0,-0.11164400000000005,13.500000000000002,13.500000000000002
86,54.0,0.75,Vertical,0.0777558333333333,1.0,0.19999999999999998,0.04654211338651545,0.027216552697590865,40.5,1.3333333333333333,-0.07224416666666669,30.375,30.375000000000004
87,54.0,1.0,Vertical,0.09745599999999999,1.0,0.15,0.02617993877991494,0.02041241452319315,54.00000000000001,1.0,-0.05254400000000001,54.00000000000001,54.00000000000001
88,54.0,1.25,Vertical,0.10614500000000002,1.0,0.12,0.016755160819145562,0.01632993161855452,67.5,0.8,-0.04385499999999998,84.375,84.37500000000001
89,54.0,1.5,Vertical,0.11715566666666669,1.0,0.09999999999999999,0.011635528346628862,0.013608276348795433,81.0,0.6666666666666666,-0.03284433333333331,121.5,121.50000000000001
90,58.0,0.5,Vertical,0.038355999999999946,1.0,0.3,0.09749770304244186,0.03939192985791677,28.999999999999993,2.0,-0.11164400000000005,14.499999999999996,14.499999999999996
91,58.0,0.75,Vertical,0.06210033333333331,1.0,0.19999999999999998,0.04333231246330748,0.026261286571944507,43.5,1.3333333333333333,-0.08789966666666668,32.625,32.62500000000001
92,58.0,1.0,Vertical,0.09745599999999999,1.0,0.15,0.024374425760610465,0.019695964928958386,57.999999999999986,1.0,-0.05254400000000001,57.999999999999986,57.999999999999986
93,58.0,1.25,Vertical,0.10614500000000002,1.0,0.12,0.015599632486790697,0.015756771943166707,72.49999999999999,0.8,-0.04385499999999998,90.62499999999997,90.62499999999999
94,58.0,1.5,Vertical,0.11715566666666669,1.0,0.09999999999999999,0.01083307811582687,0.013130643285972254,87.0,0.6666666666666666,-0.03284433333333331,130.5,130.50000000000003
