,Re_s,St,direction,stagPos,velChange,Amp,Nu,delta,Re_Paper,epsilon,Tvar,Msquared,Re_M
39,22.0,1.0,Horizontal,0.360078,1.0,0.15,0.0642598497325185,0.031980107453341566,21.999999999999996,1.0,0.21007800000000001,21.999999999999996,21.999999999999996
40,22.0,1.25,Horizontal,0.328767,1.0,0.12,0.041126303828811835,0.025584085962673253,27.499999999999993,0.8,0.17876699999999998,34.374999999999986,34.37499999999999
41,22.0,1.5,Horizontal,0.3131115,1.0,0.09999999999999999,0.02855993321445266,0.02132007163556104,33.0,0.6666666666666666,0.1631115,49.5,49.50000000000001
42,26.0,0.25,Horizontal,0.43835599999999997,1.0,0.6,0.8699795040710196,0.11766968108291043,6.499999999999999,4.0,0.28835599999999995,1.6249999999999998,1.6249999999999998
43,26.0,0.5,Horizontal,0.375734,1.0,0.3,0.2174948760177549,0.05883484054145521,12.999999999999998,2.0,0.22573400000000002,6.499999999999999,6.499999999999999
44,26.0,0.75,Horizontal,0.34442249999999996,1.0,0.19999999999999998,0.09666438934122439,0.0392232270276368,19.500000000000004,1.3333333333333333,0.19442249999999997,14.625000000000004,14.625000000000004
45,26.0,1.0,Horizontal,0.328767,1.0,0.15,0.05437371900443873,0.029417420270727607,25.999999999999996,1.0,0.17876699999999998,25.999999999999996,25.999999999999996
46,26.0,1.25,Horizontal,0.3131115,1.0,0.12,0.03479918016284079,0.023533936216582084,32.49999999999999,0.8,0.1631115,40.624999999999986,40.62499999999999
47,26.0,1.5,Horizontal,0.297456,1.0,0.09999999999999999,0.024166097335306096,0.0196116135138184,39.00000000000001,0.6666666666666666,0.147456,58.500000000000014,58.500000000000014
48,30.0,0.25,Horizontal,0.375734,1.0,0.6,0.7539822368615503,0.10954451150103321,7.500000000000001,4.0,0.22573400000000002,1.8750000000000002,1.8750000000000002
49,30.0,0.5,Horizontal,0.328767,1.0,0.3,0.18849555921538758,0.054772255750516606,15.000000000000002,2.0,0.17876699999999998,7.500000000000001,7.500000000000001
50,30.0,0.75,Horizontal,0.3131115,1.0,0.19999999999999998,0.0837758040957278,0.03651483716701107,22.499999999999996,1.3333333333333333,0.1631115,16.875,16.875
51,30.0,1.0,Horizontal,0.297456,1.0,0.15,0.047123889803846894,0.027386127875258303,30.000000000000004,1.0,0.147456,30.000000000000004,30.000000000000004
52,30.0,1.25,Horizontal,0.297456,1.0,0.12,0.030159289474462014,0.021908902300206645,37.49999999999999,0.8,0.147456,46.874999999999986,46.875
53,30.0,1.5,Horizontal,0.2818005,1.0,0.09999999999999999,0.02094395102393195,0.018257418583505537,44.99999999999999,0.6666666666666666,0.13180050000000001,67.5,67.5
54,34.0,0.5,Horizontal,0.3131115,1.0,0.3,0.1663196110724008,0.05144957554275265,16.999999999999996,2.0,0.1631115,8.499999999999998,8.499999999999998
55,34.0,0.75,Horizontal,0.297456,1.0,0.19999999999999998,0.07391982714328924,0.034299717028501764,25.500000000000004,1.3333333333333333,0.147456,19.125000000000004,19.125000000000004
56,34.0,1.0,Horizontal,0.2818005,1.0,0.15,0.0415799027681002,0.025724787771376326,33.99999999999999,1.0,0.13180050000000001,33.99999999999999,33.99999999999999
57,34.0,1.25,Horizontal,0.2818005,1.0,0.12,0.02661113777158413,0.02057983021710106,42.5,0.8,0.13180050000000001,53.125,53.125
58,34.0,1.5,Horizontal,0.2818005,1.0,0.09999999999999999,0.01847995678582231,0.017149858514250882,51.00000000000001,0.6666666666666666,0.13180050000000001,76.50000000000001,76.50000000000001
59,38.0,0.5,Horizontal,0.2818005,1.0,0.3,0.14881228359109547,0.04866642633922876,18.999999999999996,2.0,0.13180050000000001,9.499999999999998,9.499999999999998
60,38.0,0.75,Horizontal,0.2818005,1.0,0.19999999999999998,0.06613879270715353,0.03244428422615251,28.49999999999999,1.3333333333333333,0.13180050000000001,21.374999999999993,21.374999999999996
61,38.0,1.0,Horizontal,0.2818005,1.0,0.15,0.03720307089777387,0.02433321316961438,37.99999999999999,1.0,0.13180050000000001,37.99999999999999,37.99999999999999
62,38.0,1.25,Horizontal,0.266145,1.0,0.12,0.023809965374575276,0.019466570535691504,47.5,0.8,0.11614500000000003,59.375,59.37500000000001
63,38.0,1.5,Horizontal,0.266145,1.0,0.09999999999999999,0.016534698176788383,0.016222142113076255,56.99999999999998,0.6666666666666666,0.11614500000000003,85.49999999999997,85.49999999999999
64,42.0,0.5,Horizontal,0.266145,1.0,0.3,0.13463968515384828,0.04629100498862757,20.999999999999996,2.0,0.11614500000000003,10.499999999999998,10.499999999999998
65,42.0,0.75,Horizontal,0.266145,1.0,0.19999999999999998,0.059839860068377,0.030860669992418377,31.500000000000007,1.3333333333333333,0.11614500000000003,23.625000000000007,23.625000000000007
66,42.0,1.0,Horizontal,0.266145,1.0,0.15,0.03365992128846207,0.023145502494313786,41.99999999999999,1.0,0.11614500000000003,41.99999999999999,41.99999999999999
