Hx Hy ThetaBW parHx parHy parThetaBW time H
1.3785157139251198 -10.6038202460563 5.421642093721918 4.25 -6.5 0.0 10.7 10.693049582986697
1.617268635292034 -10.644150096322283 5.448786776698324 4.25 -6.5 0.0 10.8 10.76631269802884
1.8374210410474618 -10.666117035042888 5.444553226405862 4.25 -6.5 0.0 10.9 10.823223581138663
2.0779891169710116 -10.70642856777717 5.488998913042309 4.25 -6.5 0.0 11.0 10.906220768312233
2.291312761335288 -10.748169348468187 5.512155525606957 4.25 -6.5 0.0 11.1 10.98968873597469
2.525684480181696 -10.788648879886921 5.522962669110377 4.25 -6.5 0.0 11.2 11.080344161934502
2.739017865892251 -10.823036126851283 5.519668807618216 4.25 -6.5 0.0 11.3 11.164243363202226
2.986224973017152 -10.845356693491677 5.521665448192317 4.25 -6.5 0.0 11.4 11.248968903794516
3.224391210763034 -10.856755193126634 5.525436146643086 4.25 -6.5 0.0 11.5 11.325450631366861
3.4703658902033125 -10.866024691446423 5.537960000272948 4.25 -6.5 0.0 11.6 11.40674940581277
3.7078866498493213 -10.878693938073319 5.565933746427848 4.25 -6.5 0.0 11.7 11.493233018015601
3.9221910454069646 -10.898645144754022 5.576866466156301 4.25 -6.5 0.0 11.8 11.58292055519423
4.131804349790196 -10.916260894472282 5.58680081667455 4.25 -6.5 0.0 11.9 11.67204177087839
4.324115675157623 -10.93967048880327 5.604367363044925 4.25 -6.5 0.0 12.0 11.763263440718186
4.501545585671172 -10.964631441796428 5.610672330004126 4.25 -6.5 0.0 12.1 11.852723539942472
4.6620173659888025 -11.002897512705019 5.616423385197761 4.25 -6.5 0.0 12.2 11.949818391752716
4.817359795493536 -11.03212444223628 5.6288244333810065 4.25 -6.5 0.0 12.3 12.038053210890233
4.9531223663327735 -11.059211529596675 5.614621063216964 4.25 -6.5 0.0 12.4 12.117738272145921
5.10376414302229 -11.09163449039766 5.633423708893695 4.25 -6.5 0.0 12.5 12.20953578544979
5.227036476210817 -11.127527903165428 5.633709540963436 4.25 -6.5 0.0 12.6 12.294054968128439
5.331840673021697 -11.183510568412988 5.622120460155118 4.25 -6.5 0.0 12.7 12.389488835149473
5.418479261252088 -11.233065286821288 5.604214848786688 4.25 -6.5 0.0 12.8 12.47163474619941
5.477789854960278 -11.298825594398442 5.596190160772348 4.25 -6.5 0.0 12.9 12.55665725851188
5.536861456867241 -11.368712148442699 5.600453499479315 4.25 -6.5 0.0 13.0 12.64533315918132
5.617053438542026 -11.424572570126545 5.609338037243938 4.25 -6.5 0.0 13.1 12.730755976827325
5.676970025280763 -11.485309834209582 5.6168888815445275 4.25 -6.5 0.0 13.2 12.811726294911534
5.7052655923677875 -11.5558107610643 5.60959048741443 4.25 -6.5 0.0 13.3 12.88746747134538
5.769148586794028 -11.621028575920699 5.6220076064766795 4.25 -6.5 0.0 13.4 12.97425838261567
5.811214607182895 -11.689683579674606 5.612577742197406 4.25 -6.5 0.0 13.5 13.054459674902288
5.849408754209584 -11.778812783888378 5.592121059195145 4.25 -6.5 0.0 13.6 13.151274210954465
5.904760896435715 -11.847273216773708 5.5808560801841205 4.25 -6.5 0.0 13.7 13.237223421736143
5.940978812246967 -11.93180940875514 5.578464292908343 4.25 -6.5 0.0 13.8 13.329039913453071
5.989071434487226 -12.006023677489692 5.588241042376364 4.25 -6.5 0.0 13.9 13.416913996587814
6.044081235066133 -12.068914644793933 5.585885206976006 4.25 -6.5 0.0 14.0 13.497763469530796
6.101047377665343 -12.136687089355679 5.598156652246014 4.25 -6.5 0.0 14.1 13.583885769891102
6.154781083586032 -12.198424488975803 5.592397908970231 4.25 -6.5 0.0 14.2 13.663194728909964
6.189687217048265 -12.295043981618539 5.584948066021328 4.25 -6.5 0.0 14.3 13.765185591005482
