visc ampFrac rslFrac vel
1.50000e-01 4.00000e-01 1.00000e+00 -2.97243e-02
1.50000e-01 6.00000e-01 1.00000e+00 -3.03897e-02
1.50000e-01 7.00000e-01 1.00000e+00 -3.14030e-02
1.50000e-01 5.00000e-01 1.00000e+00 -3.07114e-02
2.02000e+00 8.00000e-01 1.00000e+00 -3.68184e-01
2.02000e+00 4.00000e-01 1.00000e+00 -9.20239e-02
2.02000e+00 6.00000e-01 1.00000e+00 -2.02066e-01
2.02000e+00 7.00000e-01 1.00000e+00 -2.75543e-01
2.02000e+00 5.00000e-01 1.00000e+00 -1.41718e-01
1.00000e-01 8.00000e-01 1.00000e+00 3.73373e-01
1.00000e-01 4.00000e-01 1.00000e+00 -1.13769e-02
1.00000e-01 6.00000e-01 1.00000e+00 6.74147e-02
1.00000e-01 7.00000e-01 1.00000e+00 1.83359e-01
1.00000e-01 5.00000e-01 1.00000e+00 1.49397e-02
2.00000e-01 8.00000e-01 1.00000e+00 -6.16705e-02
2.00000e-01 4.00000e-01 1.00000e+00 -4.49676e-02
2.00000e-01 6.00000e-01 1.00000e+00 -6.46035e-02
2.00000e-01 7.00000e-01 1.00000e+00 -7.01276e-02
2.00000e-01 5.00000e-01 1.00000e+00 -5.66602e-02
5.00000e-02 8.00000e-01 1.00000e+00 9.29046e-01
5.00000e-02 4.00000e-01 1.00000e+00 4.09277e-02
5.00000e-02 6.00000e-01 1.00000e+00 3.54345e-01
5.00000e-02 7.00000e-01 1.00000e+00 5.90718e-01
5.00000e-02 5.00000e-01 1.00000e+00 1.44817e-01
6.30000e-01 8.00000e-01 1.00000e+00 -2.38781e-01
6.30000e-01 4.00000e-01 1.00000e+00 -9.22058e-02
6.30000e-01 6.00000e-01 1.00000e+00 -1.73135e-01
6.30000e-01 7.00000e-01 1.00000e+00 -2.11761e-01
6.30000e-01 5.00000e-01 1.00000e+00 -1.32310e-01
3.50000e-01 8.00000e-01 1.00000e+00 -1.47593e-01
3.50000e-01 4.00000e-01 1.00000e+00 -7.19276e-02
3.50000e-01 6.00000e-01 1.00000e+00 -1.23361e-01
3.50000e-01 7.00000e-01 1.00000e+00 -1.42068e-01
3.50000e-01 5.00000e-01 1.00000e+00 -9.85179e-02
2.70000e+00 8.00000e-01 1.00000e+00 -3.59507e-01
2.70000e+00 4.00000e-01 1.00000e+00 -8.61240e-02
2.70000e+00 6.00000e-01 1.00000e+00 -1.92506e-01
2.70000e+00 7.00000e-01 1.00000e+00 -2.65475e-01
2.70000e+00 5.00000e-01 1.00000e+00 -1.33722e-01
4.00000e-02 8.00000e-01 1.10000e+00 1.02300e+00
4.00000e-02 4.00000e-01 1.10000e+00 5.52512e-02
4.00000e-02 6.00000e-01 1.10000e+00 4.39167e-01
4.00000e-02 7.00000e-01 1.10000e+00 7.16188e-01
4.00000e-02 5.00000e-01 1.10000e+00 1.89309e-01
1.12000e+00 8.00000e-01 1.10000e+00 -2.71010e-01
1.12000e+00 4.00000e-01 1.10000e+00 -8.11350e-02
1.12000e+00 6.00000e-01 1.10000e+00 -1.67111e-01
1.12000e+00 7.00000e-01 1.10000e+00 -2.16964e-01
1.12000e+00 5.00000e-01 1.10000e+00 -1.21598e-01
2.60000e-01 8.00000e-01 1.10000e+00 -8.46492e-02
2.60000e-01 4.00000e-01 1.10000e+00 -4.73865e-02
2.60000e-01 6.00000e-01 1.10000e+00 -7.29206e-02
2.60000e-01 7.00000e-01 1.10000e+00 -8.21287e-02
2.60000e-01 5.00000e-01 1.10000e+00 -6.19382e-02
4.70000e-01 8.00000e-01 1.10000e+00 -1.62260e-01
4.70000e-01 4.00000e-01 1.10000e+00 -6.92620e-02
4.70000e-01 6.00000e-01 1.10000e+00 -1.23372e-01
4.70000e-01 7.00000e-01 1.10000e+00 -1.46737e-01
